Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,SalePrice
64,70,RM,50,10300,Pave,,IR1,Bnk,140000
65,60,RL,,9375,Pave,,Reg,Lvl,219500
66,60,RL,76,9591,Pave,,Reg,Lvl,317000
67,20,RL,,19900,Pave,,Reg,Lvl,180000
68,20,RL,72,10665,Pave,,IR1,Lvl,226000
69,30,RM,47,4608,Pave,,Reg,Lvl,80000
70,50,RL,81,15593,Pave,,Reg,Lvl,225000
71,20,RL,95,13651,Pave,,IR1,Lvl,244000
72,20,RL,69,7599,Pave,,Reg,Lvl,129500
73,60,RL,74,10141,Pave,,IR1,Lvl,185000
74,20,RL,85,10200,Pave,,Reg,Lvl,144900
75,50,RM,60,5790,Pave,,Reg,Lvl,107400
76,180,RM,21,1596,Pave,,Reg,Lvl,91000
77,20,RL,,8475,Pave,,IR1,Lvl,135750
78,50,RM,50,8635,Pave,,Reg,Lvl,127000
79,90,RL,72,10778,Pave,,Reg,Lvl,136500
80,50,RM,60,10440,Pave,Grvl,Reg,Lvl,110000
81,60,RL,100,13000,Pave,,Reg,Lvl,193500
82,120,RM,32,4500,Pave,,Reg,Lvl,153500
83,20,RL,78,10206,Pave,,Reg,Lvl,245000
84,20,RL,80,8892,Pave,,IR1,Lvl,126500
85,80,RL,,8530,Pave,,IR1,Lvl,168500
86,60,RL,121,16059,Pave,,Reg,Lvl,260000
87,60,RL,122,11911,Pave,,IR2,Lvl,174000
88,160,FV,40,3951,Pave,Pave,Reg,Lvl,164500
89,50,C (all),105,8470,Pave,,IR1,Lvl,85000
90,20,RL,60,8070,Pave,,Reg,Lvl,123600
91,20,RL,60,7200,Pave,,Reg,Lvl,109900
92,20,RL,85,8500,Pave,,Reg,Lvl,98600
93,30,RL,80,13360,Pave,Grvl,IR1,HLS,163500
94,190,C (all),60,7200,Pave,,Reg,Lvl,133900
95,60,RL,69,9337,Pave,,IR1,Lvl,204750
96,60,RL,,9765,Pave,,IR2,Lvl,185000
97,20,RL,78,10264,Pave,,IR1,Lvl,214000
98,20,RL,73,10921,Pave,,Reg,HLS,94750
99,30,RL,85,10625,Pave,,Reg,Lvl,83000
100,20,RL,77,9320,Pave,,IR1,Lvl,128950
101,20,RL,,10603,Pave,,IR1,Lvl,205000
102,60,RL,77,9206,Pave,,Reg,Lvl,178000
103,90,RL,64,7018,Pave,,Reg,Bnk,118964
104,20,RL,94,10402,Pave,,IR1,Lvl,198900
105,50,RM,,7758,Pave,,Reg,Lvl,169500
106,60,FV,75,9375,Pave,,Reg,Lvl,250000
107,30,RM,60,10800,Pave,Grvl,Reg,Lvl,100000
108,20,RM,50,6000,Pave,,Reg,Lvl,115000
109,50,RM,85,8500,Pave,,Reg,Lvl,115000
110,20,RL,105,11751,Pave,,IR1,Lvl,190000
111,50,RL,75,9525,Pave,,Reg,Lvl,136900
112,80,RL,,7750,Pave,,IR1,Lvl,180000
113,60,RL,77,9965,Pave,,Reg,Lvl,383970
114,20,RL,,21000,Pave,,Reg,Bnk,217000
115,70,RL,61,7259,Pave,,IR1,Lvl,259500
116,160,FV,34,3230,Pave,Pave,Reg,Lvl,176000
117,20,RL,,11616,Pave,,Reg,Lvl,139000
118,20,RL,74,8536,Pave,,Reg,Lvl,155000
119,60,RL,90,12376,Pave,,Reg,Lvl,320000
120,60,RL,65,8461,Pave,,Reg,Lvl,163990
121,80,RL,,21453,Pave,,IR1,Low,180000
122,50,RM,50,6060,Pave,,Reg,Lvl,100000
123,20,RL,75,9464,Pave,,Reg,Lvl,136000
124,120,RL,55,7892,Pave,,Reg,Lvl,153900
125,20,RL,48,17043,Pave,,IR1,Lvl,181000
126,190,RM,60,6780,Pave,,Reg,Lvl,84500
127,120,RL,,4928,Pave,,IR1,Lvl,128000
128,45,RM,55,4388,Pave,,IR1,Bnk,87000
129,60,RL,69,7590,Pave,,Reg,Lvl,155000
130,20,RL,69,8973,Pave,,Reg,Lvl,150000
131,60,RL,88,14200,Pave,,Reg,Lvl,226000
132,60,RL,,12224,Pave,,IR1,Lvl,244000
133,20,RL,75,7388,Pave,,Reg,Lvl,150750
134,20,RL,,6853,Pave,,IR1,Lvl,220000
135,20,RL,78,10335,Pave,,IR1,Lvl,180000
136,20,RL,80,10400,Pave,,Reg,Lvl,174000
137,20,RL,,10355,Pave,,IR1,Lvl,143000
138,90,RL,82,11070,Pave,,Reg,Lvl,171000
139,60,RL,73,9066,Pave,,IR1,Lvl,230000
140,60,RL,65,15426,Pave,,IR1,Lvl,231500
141,20,RL,70,10500,Pave,,Reg,Lvl,115000
142,20,RL,78,11645,Pave,,Reg,Lvl,260000
143,50,RL,71,8520,Pave,,Reg,Lvl,166000
144,20,RL,78,10335,Pave,,IR1,Lvl,204000
145,90,RM,70,9100,Pave,,Reg,Lvl,125000
146,160,RM,24,2522,Pave,,Reg,Lvl,130000
147,30,RM,51,6120,Pave,,Reg,Lvl,105000
148,60,RL,,9505,Pave,,IR1,Lvl,222500
149,20,RL,63,7500,Pave,,Reg,Lvl,141000
150,50,RM,,6240,Pave,,Reg,Lvl,115000
151,20,RL,120,10356,Pave,,Reg,Lvl,122000
152,20,RL,107,13891,Pave,,Reg,Lvl,372402
153,60,RL,,14803,Pave,,IR1,Lvl,190000
154,20,RL,,13500,Pave,,Reg,Lvl,235000
155,30,RM,84,11340,Pave,,Reg,Lvl,125000
156,50,RL,60,9600,Pave,,Reg,Lvl,79000
157,20,RL,60,7200,Pave,,Reg,Lvl,109500
158,60,RL,92,12003,Pave,,Reg,Lvl,269500
159,60,FV,100,12552,Pave,,Reg,Lvl,254900
160,60,RL,134,19378,Pave,,IR1,HLS,320000
161,20,RL,,11120,Pave,,IR1,Lvl,162500
162,60,RL,110,13688,Pave,,IR1,Lvl,412500
163,20,RL,95,12182,Pave,,Reg,Lvl,220000
164,45,RL,55,5500,Pave,,Reg,Lvl,103200
165,40,RM,40,5400,Pave,Pave,Reg,Lvl,152000
166,190,RL,62,10106,Pave,,Reg,Lvl,127500
167,20,RL,,10708,Pave,,IR1,Lvl,190000
168,60,RL,86,10562,Pave,,Reg,Lvl,325624
169,60,RL,62,8244,Pave,,IR1,Lvl,183500
170,20,RL,,16669,Pave,,IR1,Lvl,228000
171,50,RM,,12358,Pave,,IR1,Lvl,128500
172,20,RL,141,31770,Pave,,IR1,Lvl,215000
173,160,RL,44,5306,Pave,,IR1,Lvl,239000
174,20,RL,80,10197,Pave,,IR1,Lvl,163000
175,20,RL,47,12416,Pave,,IR1,Lvl,184000
176,20,RL,84,12615,Pave,,Reg,Lvl,243000
177,60,RL,97,10029,Pave,,IR1,Lvl,211000
178,50,RL,,13650,Pave,,Reg,Lvl,172500
179,20,RL,63,17423,Pave,,IR1,Lvl,501837
180,30,RM,60,8520,Pave,,Reg,Lvl,100000
181,160,FV,,2117,Pave,,Reg,Lvl,177000
182,70,RL,54,7588,Pave,,Reg,Lvl,200100
183,20,RL,60,9060,Pave,,Reg,Lvl,120000
184,50,RM,63,11426,Pave,,Reg,Lvl,200000
185,50,RL,92,7438,Pave,,IR1,Lvl,127000
186,75,RM,90,22950,Pave,,IR2,Lvl,475000
187,80,RL,,9947,Pave,,IR1,Lvl,173000
188,50,RL,60,10410,Pave,,Reg,Lvl,135000
189,90,RL,64,7018,Pave,,Reg,Bnk,153337
190,120,RL,41,4923,Pave,,Reg,Lvl,286000
191,70,RL,70,10570,Pave,,Reg,Bnk,315000
192,60,RL,,7472,Pave,,IR1,Lvl,184000
193,20,RL,68,9017,Pave,,IR1,Lvl,192000
194,160,RM,24,2522,Pave,,Reg,Lvl,130000
195,20,RL,60,7180,Pave,,IR1,Lvl,127000
196,160,RL,24,2280,Pave,,Reg,Lvl,148500
197,20,RL,79,9416,Pave,,Reg,Lvl,311872
198,75,RL,174,25419,Pave,,Reg,Lvl,235000
199,75,RM,92,5520,Pave,,Reg,Lvl,104000
200,20,RL,76,9591,Pave,,Reg,Lvl,274900
201,20,RM,80,8546,Pave,,Reg,Lvl,140000
202,20,RL,75,10125,Pave,,Reg,Lvl,171500
203,50,RL,50,7000,Pave,,Reg,Lvl,112000
204,120,RM,,4438,Pave,,Reg,Lvl,149000
205,50,RM,50,3500,Pave,Grvl,Reg,Lvl,110000
206,20,RL,99,11851,Pave,,Reg,Lvl,180500
207,20,RL,40,13673,Pave,,IR1,Lvl,143900
208,20,RL,,12493,Pave,,IR1,Lvl,141000
209,60,RL,,14364,Pave,,IR1,Low,277000
210,20,RL,75,8250,Pave,,Reg,Lvl,145000
211,30,RL,67,5604,Pave,,Reg,Lvl,98000
212,20,RL,83,10420,Pave,,Reg,Lvl,186000
213,60,FV,72,8640,Pave,,Reg,Lvl,252678
214,20,RL,43,13568,Pave,,IR2,Lvl,156000
215,60,RL,,10900,Pave,,IR1,Lvl,161750
216,20,RL,72,10011,Pave,,IR1,Lvl,134450
217,20,RL,65,8450,Pave,,Reg,Lvl,210000
218,70,RM,57,9906,Pave,Grvl,Reg,Lvl,107000
219,50,RL,,15660,Pave,,IR1,Lvl,311500
220,120,RL,43,3010,Pave,,Reg,Lvl,167240
221,20,RL,73,8990,Pave,,IR1,Lvl,204900
222,60,RL,,8068,Pave,,IR1,Lvl,200000
223,60,RL,85,11475,Pave,,Reg,Lvl,179900
224,20,RL,70,10500,Pave,,Reg,Lvl,97000
225,20,RL,103,13472,Pave,,Reg,Lvl,386250
226,160,RM,21,1680,Pave,,Reg,Lvl,112000
227,60,RL,82,9950,Pave,,IR1,Lvl,290000
228,160,RM,21,1869,Pave,,Reg,Lvl,106000
229,20,RL,70,8521,Pave,,Reg,Lvl,125000
230,120,RL,43,3182,Pave,,Reg,Lvl,192500
231,20,RL,73,8760,Pave,,Reg,Lvl,148000
232,60,RL,174,15138,Pave,,IR1,Lvl,403000
233,160,RM,21,1680,Pave,,Reg,Lvl,94500
234,20,RL,75,10650,Pave,,Reg,Lvl,128200
235,60,RL,,7851,Pave,,Reg,Lvl,216500
236,160,RM,21,1680,Pave,,Reg,Lvl,89500
237,20,RL,65,8773,Pave,,Reg,Lvl,185500
238,60,RL,,9453,Pave,,IR1,Lvl,194500
239,20,RL,93,12030,Pave,,Reg,Lvl,318000
240,50,RL,52,8741,Pave,,Reg,Lvl,113000
241,20,FV,75,9000,Pave,,Reg,Lvl,262500
242,30,RM,40,3880,Pave,,Reg,Lvl,110500
243,50,RM,63,5000,Pave,,Reg,Lvl,79000
244,160,RL,75,10762,Pave,,Reg,Lvl,120000
245,60,RL,,8880,Pave,,IR1,Lvl,205000
246,20,RL,80,10400,Pave,,Reg,Lvl,241500
247,190,RM,69,9142,Pave,Grvl,Reg,Lvl,137000
248,20,RL,75,11310,Pave,,Reg,Lvl,140000
249,60,RL,72,11317,Pave,,Reg,Lvl,180000
250,50,RL,,159000,Pave,,IR2,Low,277000
251,30,RL,55,5350,Pave,,IR1,Lvl,76500
252,120,RM,44,4750,Pave,,IR1,HLS,235000
253,60,RL,65,8366,Pave,,IR1,Lvl,173000
254,80,RL,85,9350,Pave,,Reg,Lvl,158000
255,20,RL,70,8400,Pave,,Reg,Lvl,145000
256,60,RL,66,8738,Pave,,IR1,Lvl,230000
257,60,FV,64,8791,Pave,,IR1,Lvl,207500
258,20,RL,68,8814,Pave,,Reg,Lvl,220000
259,60,RL,80,12435,Pave,,Reg,Lvl,231500
260,20,RM,70,12702,Pave,,Reg,Lvl,97000
261,80,RL,120,19296,Pave,,Reg,Lvl,176000
262,60,RL,69,9588,Pave,,IR1,Lvl,276000
263,80,RL,88,8471,Pave,,IR1,Lvl,151000
264,50,RM,50,5500,Pave,,Reg,Lvl,130000
265,30,RM,30,5232,Pave,Grvl,IR3,Bnk,73000
266,20,RL,78,12090,Pave,,IR1,Lvl,175500
267,60,RL,70,11207,Pave,,IR1,HLS,185000
268,75,RL,60,8400,Pave,,Reg,Bnk,179500
269,30,RM,71,6900,Pave,,Reg,Lvl,120500
270,20,RL,,7917,Pave,,IR1,Lvl,148000
271,60,FV,84,10728,Pave,,Reg,Lvl,266000
272,20,RL,73,39104,Pave,,IR1,Low,241500
273,60,RL,92,11764,Pave,,IR1,Lvl,290000
274,20,RL,80,9600,Pave,,Reg,Lvl,139000
275,20,RL,76,8314,Pave,,Reg,Lvl,124500
276,50,RL,55,7264,Pave,,Reg,Lvl,205000
277,20,RL,129,9196,Pave,,IR1,Lvl,201000
278,20,RL,140,19138,Pave,,Reg,Lvl,141000
279,20,RL,107,14450,Pave,,Reg,Lvl,415298
280,60,RL,83,10005,Pave,,Reg,Lvl,192000
281,60,RL,82,11287,Pave,,Reg,Lvl,228500
282,20,FV,60,7200,Pave,Pave,Reg,Lvl,185000
283,120,RL,34,5063,Pave,,Reg,Lvl,207500
284,20,RL,74,9612,Pave,,Reg,Lvl,244600
285,120,RL,50,8012,Pave,,Reg,Lvl,179200
286,160,FV,35,4251,Pave,Pave,IR1,Lvl,164700
287,50,RL,77,9786,Pave,,IR1,Bnk,159000
288,20,RL,,8125,Pave,,IR1,Lvl,88000
289,20,RL,,9819,Pave,,IR1,Lvl,122000
290,70,RL,60,8730,Pave,,Reg,Lvl,153575
291,60,RL,120,15611,Pave,,Reg,Lvl,233230
292,190,RL,55,5687,Pave,Grvl,Reg,Bnk,135900
293,50,RL,60,11409,Pave,,Reg,Lvl,131000
294,60,RL,,16659,Pave,,IR1,Lvl,235000
295,20,RL,80,9600,Pave,,Reg,Lvl,167000
296,80,RL,37,7937,Pave,,IR1,Lvl,142500
297,50,RM,75,13710,Pave,,Reg,Lvl,152000
298,60,FV,66,7399,Pave,Pave,IR1,Lvl,239000
299,60,RL,90,11700,Pave,,Reg,Lvl,175000
300,20,RL,80,14000,Pave,,Reg,Lvl,158500
301,190,RL,90,15750,Pave,,Reg,Lvl,157000
302,60,RL,66,16226,Pave,,IR3,Lvl,267000
303,20,RL,118,13704,Pave,,IR1,Lvl,205000
304,20,RL,70,9800,Pave,,Reg,Lvl,149900
305,75,RM,87,18386,Pave,,Reg,Lvl,295000
306,20,RL,80,10386,Pave,,Reg,Lvl,305900
307,60,RL,116,13474,Pave,,Reg,Lvl,225000
308,50,RM,,7920,Pave,Grvl,IR1,Lvl,89500
309,30,RL,,12342,Pave,,IR1,Lvl,82500
310,20,RL,90,12378,Pave,,IR1,Lvl,360000
311,60,RL,,7685,Pave,,IR1,Lvl,165600
312,20,RL,50,8000,Pave,,Reg,Lvl,132000
313,190,RM,65,7800,Pave,,Reg,Lvl,119900
314,20,RL,150,215245,Pave,,IR3,Low,375000
315,70,RM,60,9600,Pave,Grvl,Reg,Lvl,178000
316,60,RL,71,7795,Pave,,IR1,Lvl,188500
317,60,RL,94,13005,Pave,,IR1,Lvl,260000
318,60,FV,75,9000,Pave,,Reg,Lvl,270000
319,60,RL,90,9900,Pave,,Reg,Low,260000
320,80,RL,,14115,Pave,,Reg,Lvl,187500
321,60,RL,111,16259,Pave,,Reg,Lvl,342643
322,60,RL,99,12099,Pave,,IR1,Lvl,354000
323,60,RL,86,10380,Pave,,IR1,Lvl,301000
324,20,RM,49,5820,Pave,,Reg,Lvl,126175
325,80,RL,96,11275,Pave,,Reg,Lvl,242000
326,45,RM,50,5000,Pave,,Reg,Lvl,87000
327,120,RL,32,10846,Pave,,IR1,Lvl,324000
328,20,RL,80,11600,Pave,,Reg,Lvl,145250
329,75,RL,,11888,Pave,Pave,IR1,Bnk,214500
330,70,RM,60,6402,Pave,,Reg,Lvl,78000
331,90,RL,,10624,Pave,,IR1,Lvl,119000
332,20,RL,70,8176,Pave,,Reg,Lvl,139000
333,20,RL,85,10655,Pave,,IR1,Lvl,284000
334,120,RM,59,8198,Pave,,Reg,Lvl,207000
335,60,RL,59,9042,Pave,,IR1,Lvl,192000
336,190,RL,,164660,Grvl,,IR1,HLS,228950
337,20,RL,86,14157,Pave,,IR1,HLS,377426
338,20,RL,70,9135,Pave,,Reg,Lvl,214000
339,20,RL,91,14145,Pave,,Reg,Lvl,202500
340,20,RL,66,12400,Pave,,IR1,Lvl,155000
341,60,RL,85,14191,Pave,,Reg,Lvl,202900
342,20,RH,60,8400,Pave,,Reg,Lvl,82000
343,90,RL,,8544,Pave,,Reg,Lvl,87500
344,120,RL,63,8849,Pave,,IR1,Lvl,266000
345,160,RM,36,2592,Pave,,Reg,Lvl,85000
346,50,RL,65,6435,Pave,,Reg,Lvl,140200
347,20,RL,,12772,Pave,,IR1,Lvl,151500
348,20,RL,,17600,Pave,,IR1,Lvl,157500
349,160,RL,36,2448,Pave,,Reg,Lvl,154000
350,60,RL,56,20431,Pave,,IR2,Lvl,437154
351,120,RL,68,7820,Pave,,IR1,Lvl,318061
352,120,RL,,5271,Pave,,IR1,Low,190000
353,50,RL,60,9084,Pave,,Reg,Lvl,95000
354,30,RM,60,8520,Pave,,Reg,Lvl,105900
355,50,RL,60,8400,Pave,,Reg,Bnk,140000
356,20,RL,105,11249,Pave,,IR2,Lvl,177500
357,20,RL,,9248,Pave,,IR1,Lvl,173000
358,120,RM,44,4224,Pave,,Reg,Lvl,134000
359,80,RL,92,6930,Pave,,IR1,Lvl,130000
360,60,RL,78,12011,Pave,,IR1,Lvl,280000
361,85,RL,,7540,Pave,,IR1,Lvl,156000
362,50,RL,,9144,Pave,Pave,Reg,Lvl,145000
363,85,RL,64,7301,Pave,,Reg,Lvl,198500
364,160,RM,21,1680,Pave,,Reg,Lvl,118000
365,60,RL,,18800,Pave,,IR1,Lvl,190000
366,70,RM,59,10690,Pave,,Reg,Lvl,147000
367,20,RL,,9500,Pave,,IR1,Lvl,159000
368,80,RL,101,9150,Pave,,IR1,Lvl,165000
369,20,RL,78,7800,Pave,,Reg,Lvl,132000
370,20,RL,,9830,Pave,,IR1,Lvl,162000
371,60,RL,,8121,Pave,,IR1,Lvl,172400
372,50,RL,80,17120,Pave,,Reg,Lvl,134432
373,120,RL,50,7175,Pave,,Reg,Lvl,125000
374,20,RL,79,10634,Pave,,Reg,Lvl,123000
375,60,RL,65,8200,Pave,,Reg,Lvl,219500
376,30,RL,,10020,Pave,,IR1,Low,61000
377,85,RL,57,8846,Pave,,IR1,Lvl,148000
378,60,FV,102,11143,Pave,,IR1,Lvl,340000
379,20,RL,88,11394,Pave,,Reg,Lvl,394432
380,60,RL,60,8123,Pave,,IR1,Lvl,179000
381,50,RL,50,5000,Pave,Pave,Reg,Lvl,127000
382,20,FV,60,7200,Pave,Pave,Reg,Lvl,187750
383,60,RL,79,9245,Pave,,IR1,Lvl,213500
384,45,RH,60,9000,Pave,,Reg,Lvl,76000
385,60,RL,,53107,Pave,,IR2,Low,240000
386,120,RL,43,3182,Pave,,Reg,Lvl,192000
387,50,RL,58,8410,Pave,,Reg,Lvl,81000
388,80,RL,72,7200,Pave,,Reg,Lvl,125000
389,20,RL,93,9382,Pave,,IR1,Lvl,191000
390,60,RL,96,12474,Pave,,Reg,Lvl,426000
391,50,RL,50,8405,Pave,Grvl,Reg,Lvl,119000
392,60,RL,71,12209,Pave,,IR1,Lvl,215000
393,20,RL,,8339,Pave,,IR1,Lvl,106500
394,30,RL,,7446,Pave,,Reg,Lvl,100000
395,50,RL,60,10134,Pave,,Reg,Lvl,109000
396,20,RL,68,9571,Pave,,Reg,Lvl,129000
397,20,RL,60,7200,Pave,,Reg,Low,123000
398,60,RL,69,7590,Pave,,Reg,Lvl,169500
399,30,RM,60,8967,Pave,,Reg,Lvl,67000
400,60,FV,65,8125,Pave,,Reg,Lvl,241000
401,120,RL,38,14963,Pave,,IR2,Lvl,245500
402,20,RL,65,8767,Pave,,IR1,Lvl,164990
403,30,RL,60,10200,Pave,,Reg,Lvl,108000
404,60,RL,93,12090,Pave,,Reg,Lvl,258000
405,60,RL,,10364,Pave,,IR1,Lvl,168000
406,20,RL,,9991,Pave,,IR1,Lvl,150000
407,50,RL,51,10480,Pave,,Reg,Lvl,115000
408,70,RL,63,15576,Pave,,Reg,Lvl,177000
409,60,RL,109,14154,Pave,,Reg,Lvl,280000
410,60,FV,85,10800,Pave,,Reg,Lvl,339750
411,20,RL,68,9571,Pave,,Reg,Lvl,60000
412,190,RL,100,34650,Pave,,Reg,Bnk,145000
413,20,FV,,4403,Pave,,IR2,Lvl,222000
414,30,RM,56,8960,Pave,Grvl,Reg,Lvl,115000
415,60,RL,59,11228,Pave,,IR2,Lvl,228000
416,20,RL,73,8899,Pave,,IR1,Lvl,181134
417,60,RL,74,7844,Pave,,Reg,Lvl,149500
418,70,RL,86,22420,Pave,,IR1,Lvl,239000
419,50,RL,60,8160,Pave,,Reg,Lvl,126000
420,20,RL,65,8450,Pave,,Reg,Lvl,142000
421,90,RM,78,7060,Pave,,Reg,Lvl,206300
422,20,RL,,16635,Pave,,IR1,Lvl,215000
423,20,RL,100,21750,Pave,,Reg,HLS,113000
424,60,RL,80,9200,Pave,,Reg,Lvl,315000
425,20,RL,72,9000,Pave,,Reg,Lvl,139000
426,60,RM,60,3378,Pave,Grvl,Reg,HLS,135000
427,80,RL,,12800,Pave,,Reg,Low,275000
428,20,RL,77,8593,Pave,,IR1,Lvl,109008
429,20,RL,64,6762,Pave,,Reg,Lvl,195400
430,20,RL,130,11457,Pave,,IR1,Lvl,175000
431,160,RM,21,1680,Pave,,Reg,Lvl,85400
432,50,RM,60,5586,Pave,,IR1,Bnk,79900
433,160,RM,24,1920,Pave,,Reg,Lvl,122500
434,60,RL,100,10839,Pave,,IR1,Lvl,181000
435,180,RM,21,1890,Pave,,Reg,Lvl,81000
436,60,RL,43,10667,Pave,,IR2,Lvl,212000
437,50,RM,40,4400,Pave,,Reg,Lvl,116000
438,45,RM,50,6000,Pave,,Reg,Lvl,119000
439,30,RL,40,4280,Pave,,Reg,Lvl,90350
440,50,RL,67,12354,Pave,Grvl,Reg,Lvl,110000
441,20,RL,105,15431,Pave,,Reg,Lvl,555000
442,90,RL,92,12108,Pave,,Reg,Lvl,118000
443,50,RM,52,6240,Pave,,Reg,Lvl,162900
444,120,RL,53,3922,Pave,,Reg,Lvl,172500
445,60,RL,70,8750,Pave,,Reg,Lvl,210000
446,20,RL,73,9855,Pave,,Reg,Lvl,127500
447,20,RL,137,16492,Pave,,IR1,Lvl,190000
448,60,RL,,11214,Pave,,IR1,Lvl,199900
449,50,RM,50,8600,Pave,,Reg,Bnk,119500
450,50,RM,50,6000,Pave,,Reg,Lvl,120000
451,30,RM,70,5684,Pave,,Reg,Lvl,110000
452,20,RL,62,70761,Pave,,IR1,Low,280000
453,60,RL,,9303,Pave,,IR1,Lvl,204000
454,60,FV,75,9000,Pave,,Reg,Lvl,210000
455,90,RL,63,9297,Pave,,Reg,Lvl,188000
456,20,RL,80,9600,Pave,,Reg,Lvl,175500
457,70,RM,34,4571,Pave,Grvl,Reg,Lvl,98000
458,20,RL,,53227,Pave,,IR1,Low,256000
459,70,RM,,5100,Pave,Grvl,Reg,Lvl,161000
460,50,RL,,7015,Pave,,IR1,Bnk,110000
461,60,FV,75,8004,Pave,,IR1,Lvl,263435
462,70,RL,60,7200,Pave,,Reg,Lvl,155000
463,20,RL,60,8281,Pave,,IR1,Lvl,62383
464,70,RL,74,11988,Pave,,IR1,HLS,188700
465,20,RL,60,8430,Pave,,Reg,HLS,124000
466,120,RM,,3072,Pave,,Reg,Lvl,178740
467,20,RL,85,10628,Pave,,Reg,Lvl,167000
468,70,RL,79,9480,Pave,,Reg,Lvl,146500
469,20,RL,98,11428,Pave,,IR1,Lvl,250000
470,60,RL,76,9291,Pave,,IR1,Lvl,187000
471,120,RL,,6820,Pave,,IR1,Lvl,212000
472,60,RL,92,11952,Pave,,Reg,Lvl,190000
473,180,RM,35,3675,Pave,,Reg,Lvl,148000
474,20,RL,110,14977,Pave,,IR1,Lvl,440000
475,120,RL,41,5330,Pave,,Reg,Lvl,251000
476,20,RL,80,8480,Pave,,Reg,Lvl,132500
477,20,RL,75,13125,Pave,,Reg,Lvl,208900
478,60,RL,105,13693,Pave,,Reg,Lvl,380000
479,20,RL,79,10637,Pave,,Reg,Lvl,297000
